Time (s),Signal (V)
1.956,2.785455774
1.958,3.07038967
1.96,3.565274856
1.962,2.995407066
1.964,2.680480129
1.966,2.1556019
1.968,2.560507962
1.97,2.215587984
1.972,2.095615817
1.974,2.485525358
1.976,2.575504483
1.978,3.145372274
1.98,3.295337482
1.982,3.130375753
1.984,2.950417503
1.986,2.740466212
1.988,2.5155184
1.99,2.020633213
1.992,2.260577546
1.994,2.185594942
1.996,2.770459253
1.998,3.08538619
2,2.935420982
2.002,3.130375753
2.004,2.920424462
2.006,2.470528837
2.008,2.33556015
2.01,2.095615817
2.012,2.245581025
2.014,2.665483608
2.016,3.040396628
2.018,3.025400107
2.02,3.115379232
2.022,2.665483608
2.024,2.755462733
2.026,2.410542754
2.028,2.425539275
2.03,2.095615817
2.032,2.14060538
2.034,2.305567108
2.036,2.755462733
2.038,3.040396628
2.04,3.055393149
2.042,2.785455774
2.044,2.725469691
2.046,2.800452295
2.048,2.200591463
2.05,2.050626255
2.052,2.245581025
2.054,2.500521879
2.056,2.725469691
2.058,2.845441857
2.06,2.935420982
2.062,2.935420982
2.064,2.800452295
2.066,2.470528837
2.068,2.230584504
2.07,1.78068888
2.072,2.245581025
2.074,2.290570588
2.076,2.485525358
2.078,2.830445337
2.08,3.100382711
2.082,3.160368794
2.084,2.905427941
2.086,2.33556015
2.088,2.170598421
2.09,1.945650609
2.092,2.440535796
2.094,2.260577546
2.096,2.725469691
2.098,2.770459253
2.1,2.740466212
2.102,2.770459253
2.104,2.965414024
2.106,2.455532317
2.108,2.1556019
2.11,1.705706276
2.112,2.230584504
2.114,2.455532317
2.116,2.665483608
2.118,2.800452295
2.12,3.175365315
2.122,3.220354878
2.124,2.635490566
2.126,1.945650609
2.128,1.810681922
2.13,1.735699318
2.132,1.855671484
2.134,2.5155184
2.136,3.010403586
2.138,2.800452295
2.14,2.785455774
2.142,2.89043142
2.144,2.680480129
2.146,2.170598421
2.148,1.96064713
2.15,2.185594942
2.152,2.290570588
2.154,2.410542754
2.156,2.560507962
2.158,2.89043142
2.16,3.07038967
2.162,3.145372274
2.164,2.740466212
2.166,1.885664526
2.168,1.58573411
2.17,2.005636692
2.172,2.185594942
2.174,2.5155184
2.176,2.650487087
2.178,2.995407066
2.18,2.905427941
2.182,2.665483608
2.184,2.410542754
2.186,2.230584504
2.188,2.260577546
2.19,2.095615817
2.192,1.96064713
2.194,2.395546233
2.196,2.965414024
2.198,3.010403586
2.2,2.905427941
2.202,2.965414024
2.204,2.440535796
2.206,2.035629734
2.208,1.690709755
2.21,1.765692359
2.212,2.050626255
2.214,2.365553192
2.216,2.605497525
2.218,3.100382711
2.22,2.980410545
2.222,2.905427941
2.224,2.455532317
2.226,2.230584504
2.228,1.990640171
2.23,1.765692359
2.232,2.230584504
2.234,2.485525358
2.236,2.500521879
2.238,3.205358357
2.24,3.250347919
2.242,2.770459253
2.244,2.305567108
2.246,2.005636692
2.248,1.615727151
2.25,1.690709755
2.252,2.575504483
2.254,2.665483608
2.256,2.830445337
2.258,3.370320086
2.26,3.010403586
2.262,2.905427941
2.264,2.410542754
2.266,2.005636692
2.268,2.020633213
2.27,2.185594942
2.272,2.170598421
2.274,2.380549712
2.276,2.740466212
2.278,2.965414024
2.28,3.235351398
2.282,3.115379232
2.284,2.485525358
2.286,1.990640171
2.288,2.215587984
2.29,2.215587984
2.292,2.230584504
2.294,2.770459253
2.296,2.830445337
2.298,3.160368794
2.3,3.08538619
2.302,2.815448816
2.304,2.395546233
2.306,2.125608859
2.308,2.125608859
2.31,2.260577546
2.312,2.455532317
2.314,2.545511441
2.316,3.010403586
2.318,3.190361836
2.32,3.025400107
2.322,2.740466212
2.324,2.215587984
2.326,2.005636692
2.328,2.200591463
2.33,1.870668005
2.332,1.915657567
2.334,2.470528837
2.336,2.71047317
2.338,2.905427941
2.34,2.500521879
2.342,2.815448816
2.344,2.230584504
2.346,1.840674963
2.348,1.885664526
2.35,2.1556019
2.352,2.095615817
2.354,2.935420982
2.356,2.845441857
2.358,2.5155184
2.36,2.680480129
2.362,2.500521879
2.364,1.990640171
2.366,1.930654088
2.368,2.050626255
2.37,2.050626255
2.372,2.170598421
2.374,2.740466212
2.376,2.71047317
2.378,2.680480129
2.38,2.680480129
2.382,2.560507962
2.384,2.215587984
2.386,1.78068888
2.388,1.735699318
2.39,1.870668005
2.392,2.170598421
2.394,2.605497525
2.396,2.800452295
2.398,2.665483608
2.4,2.410542754
2.402,2.410542754
2.404,2.380549712
2.406,1.930654088
2.408,1.915657567
2.41,2.125608859
2.412,2.470528837
2.414,2.440535796
2.416,2.500521879
2.418,2.695476649
2.42,2.845441857
2.422,2.500521879
2.424,1.915657567
2.426,2.020633213
2.428,1.945650609
2.43,2.245581025
2.432,2.5155184
2.434,3.040396628
2.436,3.625260939
2.438,3.895198314
2.44,3.850208752
2.442,4.150139168
2.444,3.970180918
2.446,3.490292252
2.448,3.415309648
2.45,3.580271377
2.452,3.385316607
2.454,3.235351398
2.456,2.995407066
2.458,3.040396628
2.46,2.635490566
2.462,2.005636692
2.464,1.58573411
2.466,1.345789777
2.468,1.270807173
2.47,1.315796735
2.472,1.420772381
2.474,1.945650609
2.476,2.365553192
2.478,2.350556671
2.48,1.840674963
2.482,1.690709755
2.484,1.525748026
2.486,1.510751506
2.488,1.705706276
2.49,1.930654088
2.492,2.200591463
2.494,2.530514921
2.496,2.650487087
2.498,2.725469691
2.5,2.635490566
2.502,2.440535796
2.504,2.305567108
2.506,1.96064713
2.508,1.60073063
2.51,2.33556015
2.512,2.1556019
2.514,2.545511441
2.516,2.530514921
2.518,3.08538619
2.52,2.755462733
2.522,2.470528837
2.524,1.855671484
2.526,1.78068888
2.528,2.365553192
2.53,2.230584504
2.532,2.185594942
2.534,2.815448816
2.536,3.010403586
2.538,2.785455774
2.54,2.785455774
2.542,2.560507962
2.544,1.840674963
2.546,1.78068888
2.548,1.690709755
2.55,2.050626255
2.552,2.545511441
2.554,2.935420982
2.556,2.785455774
2.558,2.740466212
2.56,3.010403586
2.562,2.320563629
2.564,1.975643651
2.566,1.870668005
2.568,1.975643651
2.57,2.110612338
2.572,2.5155184
2.574,2.620494045
2.576,2.920424462
2.578,3.025400107
2.58,2.995407066
2.582,2.665483608
2.584,1.945650609
2.586,2.050626255
2.588,2.110612338
2.59,1.885664526
2.592,2.440535796
2.594,3.130375753
2.596,3.235351398
2.598,3.250347919
2.6,3.160368794
2.602,2.485525358
2.604,2.320563629
2.606,1.990640171
2.608,2.095615817
2.61,2.635490566
2.612,2.980410545
2.614,2.965414024
2.616,3.26534444
2.618,2.845441857
2.62,2.575504483
2.622,2.680480129
2.624,2.290570588
2.626,2.020633213
2.628,2.1556019
2.63,2.800452295
2.632,3.040396628
2.634,3.370320086
2.636,3.580271377
2.638,3.610264419
2.64,3.370320086
2.642,2.89043142
2.644,2.665483608
2.646,2.545511441
2.648,2.440535796
2.65,2.950417503
2.652,3.26534444
2.654,3.655253981
2.656,3.985177439
2.658,3.625260939
2.66,3.355323565
2.662,3.235351398
2.664,3.115379232
2.666,2.755462733
2.668,2.935420982
2.67,3.310334003
2.672,3.550278335
2.674,3.685247023
2.676,3.760229627
2.678,4.00017396
2.68,3.865205272
2.682,3.535281815
2.684,3.26534444
2.686,3.490292252
2.688,3.415309648
2.69,3.400313127
2.692,4.060160043
2.694,4.390083501
2.696,4.300104376
2.698,4.135142647
2.7,4.165135689
2.702,3.790222668
2.704,3.400313127
2.706,3.220354878
2.708,3.190361836
2.71,3.310334003
2.712,4.01517048
2.714,4.00017396
2.716,3.82021571
2.718,3.64025746
2.72,3.310334003
2.722,3.145372274
2.724,2.980410545
2.726,2.770459253
2.728,2.755462733
2.73,2.995407066
2.732,3.385316607
2.734,3.805219189
2.736,3.670250502
2.738,3.175365315
2.74,2.740466212
2.742,2.605497525
2.744,2.350556671
2.746,2.440535796
2.748,2.260577546
2.75,2.815448816
2.752,2.785455774
2.754,3.010403586
2.756,3.145372274
2.758,2.920424462
2.76,2.530514921
2.762,2.125608859
2.764,1.975643651
2.766,1.96064713
2.768,2.245581025
2.77,2.530514921
2.772,2.995407066
2.774,3.08538619
2.776,3.07038967
2.778,2.830445337
2.78,2.695476649
2.782,2.005636692
2.784,1.840674963
2.786,1.750695839
2.788,1.945650609
2.79,2.440535796
