Time (s),Signal (V)
1.25,2.440899789
1.252,2.261393765
1.254,1.902381718
1.256,1.673919506
1.258,1.902381718
1.26,1.959497271
1.262,2.041090918
1.264,2.106365836
1.266,2.147162659
1.268,2.334828047
1.27,2.285871859
1.272,2.122684565
1.274,1.812628706
1.276,1.616803953
1.278,1.877903624
1.28,1.869744259
1.282,2.049250283
1.284,2.1145252
1.286,2.139003295
1.288,2.342987412
1.29,2.285871859
1.292,2.171640753
1.294,1.861584895
1.296,1.690238236
1.298,1.894222353
1.3,1.959497271
1.302,2.024772189
1.304,2.032931553
1.306,2.016612824
1.308,2.294031224
1.31,2.139003295
1.312,1.877903624
1.314,1.478094753
1.316,1.43729793
1.318,1.755513153
1.32,1.8371068
1.322,2.000294095
1.324,2.220596942
1.326,2.40826233
1.328,2.914142941
1.33,2.987577224
1.332,2.938621036
1.334,2.914142941
1.336,3.069170871
1.338,3.354748636
1.34,3.493457835
1.342,3.468979741
1.344,3.730079412
1.346,3.65664513
1.348,3.754557506
1.35,3.362908
1.352,3.0854896
1.354,2.538812165
1.356,2.342987412
1.358,2.261393765
1.36,2.057409647
1.362,1.951337906
1.364,2.171640753
1.366,2.245075036
1.368,2.26955313
1.37,2.1145252
1.372,1.910541083
1.374,1.608644589
1.376,1.567847765
1.378,1.665760142
1.38,1.657600777
1.382,1.845266165
1.384,1.951337906
1.386,2.065569012
1.388,2.220596942
1.39,2.098206471
1.392,2.081887742
1.394,1.722875695
1.396,1.85342553
1.398,1.902381718
1.4,1.983975365
1.402,2.098206471
1.404,2.155322024
1.406,2.220596942
1.408,2.400102965
1.41,2.163481389
1.412,2.106365836
1.414,1.755513153
1.416,1.943178542
1.418,2.049250283
1.42,2.057409647
1.422,2.000294095
1.424,2.228756306
1.426,2.367465506
1.428,2.383784236
1.43,2.245075036
1.432,2.098206471
1.434,1.771831883
1.436,2.000294095
1.438,2.065569012
1.44,2.106365836
1.442,2.171640753
1.444,2.294031224
1.446,2.465377883
1.448,2.40826233
1.45,2.245075036
1.452,2.106365836
1.454,1.706556965
1.456,1.99213473
1.458,2.106365836
1.46,2.147162659
1.462,2.261393765
1.464,2.342987412
1.466,2.563290259
1.468,2.489855977
1.47,2.285871859
1.472,2.179800118
1.474,1.959497271
1.476,2.147162659
1.478,2.090047106
1.48,2.139003295
1.482,2.424581059
1.484,2.473537247
1.486,2.669362
1.488,2.579608989
1.49,2.326668683
1.492,2.139003295
1.494,1.861584895
1.496,2.147162659
1.498,2.2532344
1.5,2.2532344
1.502,2.342987412
1.504,2.473537247
1.506,2.718318189
1.508,2.661202636
1.51,2.440899789
1.512,2.187959483
1.514,1.926859812
1.516,2.204278212
1.518,2.318509318
1.52,2.424581059
1.522,2.498015342
1.524,2.465377883
1.526,2.726477553
1.528,2.750955647
1.53,2.644883906
1.532,2.367465506
1.534,2.073728377
1.536,2.26955313
1.538,2.367465506
1.54,2.481696612
1.542,2.522493436
1.544,2.68568073
1.546,2.914142941
1.548,2.865186753
1.55,2.628565177
1.552,2.367465506
1.554,2.318509318
1.556,2.416421694
1.558,2.473537247
1.56,2.5306528
1.562,2.701999459
1.564,2.791752471
1.566,2.995736589
1.568,2.865186753
1.57,2.68568073
1.572,2.481696612
1.574,2.285871859
1.576,2.514334071
1.578,2.514334071
1.58,2.669362
1.582,2.775433741
1.584,2.759115012
1.586,3.012055318
1.588,2.930461671
1.59,2.726477553
1.592,2.424581059
1.594,2.359306142
1.596,2.54697153
1.598,2.473537247
1.6,2.579608989
1.602,2.710158824
1.604,2.710158824
1.606,2.9467804
1.608,2.775433741
1.61,2.653043271
1.612,2.245075036
1.614,2.204278212
1.616,2.351146777
1.618,2.359306142
1.62,2.383784236
1.622,2.506174706
1.624,2.538812165
1.626,2.759115012
1.628,2.612246447
1.63,2.424581059
1.632,2.032931553
1.634,2.081887742
1.636,2.204278212
1.638,2.187959483
1.64,2.245075036
1.642,2.334828047
1.644,2.3919436
1.646,2.506174706
1.648,2.432740424
1.65,2.334828047
1.652,2.008453459
1.654,1.935019177
1.656,1.967656636
1.658,2.049250283
1.66,2.106365836
1.662,2.351146777
1.664,2.342987412
1.666,2.506174706
1.668,2.351146777
1.67,2.187959483
1.672,1.869744259
1.674,1.926859812
1.676,1.975816
1.678,2.032931553
1.68,2.098206471
1.682,2.334828047
1.684,2.318509318
1.686,2.457218518
1.688,2.2532344
1.69,2.179800118
1.692,1.722875695
1.694,1.894222353
1.696,2.032931553
1.698,2.041090918
1.7,2.220596942
1.702,2.285871859
1.704,2.473537247
1.706,2.54697153
1.708,2.294031224
1.71,2.155322024
1.712,1.779991248
1.714,1.983975365
1.716,1.959497271
1.718,2.024772189
