Time (s),Signal (V)
0.76,3.1551411
0.762,2.964451449
0.764,2.687084684
0.766,2.617742993
0.768,2.652413839
0.77,2.84310349
0.772,3.103134832
0.774,3.39783702
0.776,3.501849557
0.778,3.501849557
0.78,3.345830751
0.782,3.172476523
0.784,2.912445181
0.786,2.808432644
0.788,2.825768067
0.79,3.051128563
0.792,3.293824483
0.794,3.51918498
0.796,3.640532939
0.798,3.605862094
0.8,3.415172443
0.802,3.224482792
0.804,2.964451449
0.806,2.877774335
0.808,2.912445181
0.81,3.085799409
0.812,3.328495329
0.814,3.571191248
0.816,3.605862094
0.818,3.571191248
0.82,3.345830751
0.822,3.085799409
0.824,2.825768067
0.826,2.704420107
0.828,2.72175553
0.83,2.860438912
0.832,3.068463986
0.834,3.27648906
0.836,3.293824483
0.838,3.207147369
0.84,2.964451449
0.842,2.652413839
0.844,2.392382496
0.846,2.305705382
0.848,2.323040805
0.85,2.47905961
0.852,2.687084684
0.854,2.929780604
0.856,2.964451449
0.858,2.912445181
0.86,2.669749261
0.862,2.409717919
0.864,2.184357422
0.866,2.115015731
0.868,2.149686577
0.87,2.323040805
0.872,2.583072147
0.874,2.756426375
0.876,2.84310349
0.878,2.739090953
0.88,2.565736724
0.882,2.253699114
0.884,2.04567404
0.886,1.976332349
0.888,2.04567404
0.89,2.253699114
0.892,2.548401302
0.894,2.704420107
0.896,2.756426375
0.898,2.669749261
0.9,2.461724188
0.902,2.149686577
0.904,1.976332349
0.906,1.92432608
0.908,1.976332349
0.91,2.201692845
0.912,2.531065879
0.914,2.635078416
0.916,2.669749261
0.918,2.583072147
0.92,2.392382496
0.922,2.097680308
0.924,1.92432608
0.926,1.872319812
0.928,1.993667771
0.93,2.184357422
0.932,2.47905961
0.934,2.635078416
0.936,2.687084684
0.938,2.565736724
0.94,2.392382496
0.942,2.149686577
0.944,1.976332349
0.946,1.92432608
0.948,2.028338617
0.95,2.236363691
0.952,2.565736724
0.954,2.704420107
0.956,2.739090953
0.958,2.617742993
0.96,2.427053342
0.962,2.132351154
0.964,2.028338617
0.966,1.958996926
0.968,2.097680308
0.97,2.288369959
0.972,2.635078416
0.974,2.773761798
0.976,2.791097221
0.978,2.687084684
0.98,2.513730456
0.982,2.184357422
0.984,2.063009463
0.986,2.063009463
0.988,2.201692845
0.99,2.357711651
0.992,2.669749261
0.994,2.791097221
0.996,2.860438912
0.998,2.687084684
1,2.513730456
1.002,2.184357422
1.004,2.04567404
1.006,2.080344885
1.008,2.184357422
1.01,2.375047073
1.012,2.687084684
1.014,2.808432644
1.016,2.791097221
1.018,2.652413839
1.02,2.47905961
1.022,2.167022
1.024,2.028338617
1.026,2.011003194
1.028,2.167022
1.03,2.375047073
1.032,2.652413839
1.034,2.791097221
1.036,2.791097221
1.038,2.635078416
1.04,2.409717919
1.042,2.132351154
1.044,2.011003194
1.046,2.04567404
1.048,2.184357422
1.05,2.357711651
1.052,2.687084684
1.054,2.808432644
1.056,2.739090953
1.058,2.617742993
1.06,2.392382496
1.062,2.080344885
1.064,1.958996926
1.066,2.028338617
1.068,2.219028268
1.07,2.409717919
1.072,2.687084684
1.074,2.773761798
1.076,2.756426375
1.078,2.565736724
1.08,2.357711651
1.082,2.097680308
1.084,2.011003194
1.086,2.028338617
1.088,2.236363691
1.09,2.427053342
1.092,2.687084684
1.094,2.825768067
1.096,2.756426375
1.098,2.531065879
1.1,2.357711651
1.102,2.04567404
1.104,1.993667771
1.106,2.028338617
1.108,2.201692845
1.11,2.427053342
1.112,2.669749261
1.114,2.756426375
1.116,2.704420107
1.118,2.531065879
1.12,2.271034536
1.122,2.04567404
1.124,1.993667771
1.126,2.04567404
1.128,2.219028268
1.13,2.461724188
1.132,2.669749261
1.134,2.773761798
1.136,2.72175553
1.138,2.496395033
1.14,2.236363691
1.142,2.04567404
1.144,1.958996926
1.146,2.011003194
1.148,2.184357422
1.15,2.496395033
1.152,2.669749261
1.154,2.756426375
1.156,2.687084684
1.158,2.496395033
1.16,2.201692845
1.162,2.04567404
1.164,1.976332349
1.166,2.04567404
1.168,2.253699114
1.17,2.513730456
1.172,2.704420107
1.174,2.773761798
1.176,2.687084684
1.178,2.47905961
1.18,2.184357422
1.182,1.993667771
1.184,1.941661503
1.186,2.04567404
1.188,2.236363691
1.19,2.496395033
1.192,2.704420107
1.194,2.791097221
1.196,2.635078416
1.198,2.496395033
1.2,2.184357422
1.202,2.028338617
1.204,1.976332349
1.206,2.063009463
1.208,2.253699114
1.21,2.583072147
1.212,2.72175553
1.214,2.756426375
1.216,2.669749261
1.218,2.496395033
1.22,2.201692845
1.222,2.04567404
1.224,1.993667771
1.226,2.080344885
1.228,2.271034536
1.23,2.583072147
1.232,2.72175553
1.234,2.773761798
1.236,2.652413839
1.238,2.461724188
1.24,2.184357422
1.242,2.04567404
1.244,1.993667771
1.246,2.097680308
1.248,2.288369959
1.25,2.565736724
1.252,2.72175553
1.254,2.756426375
1.256,2.652413839
1.258,2.461724188
1.26,2.184357422
1.262,2.028338617
1.264,1.958996926
1.266,2.132351154
1.268,2.288369959
1.27,2.583072147
1.272,2.72175553
1.274,2.773761798
1.276,2.617742993
1.278,2.427053342
1.28,2.167022
1.282,2.011003194
1.284,1.993667771
1.286,2.132351154
1.288,2.323040805
1.29,2.635078416
1.292,2.773761798
1.294,2.739090953
1.296,2.635078416
1.298,2.444388765
1.3,2.115015731
1.302,1.993667771
1.304,1.976332349
1.306,2.097680308
1.308,2.323040805
1.31,2.652413839
1.312,2.773761798
1.314,2.791097221
1.316,2.60040757
1.318,2.392382496
1.32,2.115015731
1.322,1.993667771
1.324,1.993667771
1.326,2.184357422
1.328,2.375047073
1.33,2.652413839
1.332,2.773761798
1.334,2.773761798
1.336,2.617742993
1.338,2.409717919
1.34,2.149686577
1.342,2.028338617
1.344,2.028338617
1.346,2.184357422
1.348,2.427053342
1.35,2.739090953
1.352,2.808432644
1.354,2.808432644
1.356,2.635078416
1.358,2.427053342
1.36,2.184357422
1.362,2.115015731
1.364,2.097680308
1.366,2.305705382
1.368,2.496395033
1.37,2.791097221
1.372,2.860438912
1.374,2.877774335
1.376,2.669749261
1.378,2.461724188
1.38,2.201692845
1.382,2.115015731
1.384,2.149686577
1.386,2.357711651
1.388,2.531065879
1.39,2.808432644
1.392,2.877774335
1.394,2.895109758
1.396,2.652413839
1.398,2.444388765
1.4,2.201692845
1.402,2.063009463
1.404,2.080344885
1.406,2.271034536
1.408,2.47905961
1.41,2.72175553
1.412,2.791097221
1.414,2.739090953
1.416,2.548401302
1.418,2.288369959
1.42,2.04567404
1.422,1.941661503
1.424,1.993667771
1.426,2.167022
1.428,2.47905961
1.43,2.687084684
1.432,2.704420107
1.434,2.687084684
1.436,2.496395033
1.438,2.219028268
1.44,1.976332349
1.442,1.92432608
1.444,1.993667771
1.446,2.219028268
1.448,2.513730456
1.45,2.669749261
1.452,2.72175553
1.454,2.669749261
1.456,2.496395033
1.458,2.184357422
1.46,2.011003194
1.462,1.958996926
1.464,1.993667771
1.466,2.184357422
1.468,2.47905961
1.47,2.669749261
1.472,2.739090953
1.474,2.669749261
1.476,2.409717919
1.478,2.080344885
1.48,1.889655234
1.482,1.750971852
1.484,1.854984389
1.486,2.080344885
1.488,2.340376228
1.49,2.513730456
1.492,2.565736724
1.494,2.687084684
1.496,2.669749261
1.498,2.635078416
1.5,2.72175553
1.502,3.033793141
1.504,3.415172443
1.506,3.969905973
1.508,4.541974926
1.51,4.75
1.512,4.732664577
1.514,4.403291544
1.516,3.779216322
1.518,3.293824483
1.52,3.085799409
1.522,2.756426375
1.524,2.496395033
1.526,2.288369959
1.528,2.115015731
1.53,2.097680308
1.532,2.132351154
1.534,2.04567404
1.536,1.854984389
1.538,1.542946778
1.54,1.421598818
1.542,1.473605087
1.544,1.664294738
1.546,1.92432608
1.548,2.323040805
1.55,2.513730456
1.552,2.583072147
1.554,2.513730456
1.556,2.392382496
1.558,2.097680308
1.56,1.92432608
1.562,1.941661503
1.564,2.080344885
1.566,2.236363691
1.568,2.565736724
1.57,2.687084684
1.572,2.739090953
1.574,2.565736724
1.576,2.444388765
1.578,2.132351154
1.58,2.04567404
1.582,1.976332349
1.584,2.253699114
1.586,2.427053342
1.588,2.756426375
1.59,2.84310349
1.592,2.84310349
1.594,2.687084684
1.596,2.496395033
1.598,2.184357422
1.6,2.04567404
1.602,2.028338617
1.604,2.201692845
1.606,2.409717919
1.608,2.704420107
1.61,2.808432644
1.612,2.895109758
1.614,2.704420107
1.616,2.531065879
1.618,2.236363691
1.62,2.167022
1.622,2.167022
1.624,2.323040805
1.626,2.531065879
1.628,2.860438912
1.63,2.947116027
1.632,2.947116027
1.634,2.739090953
1.636,2.565736724
1.638,2.323040805
1.64,2.184357422
1.642,2.219028268
1.644,2.392382496
1.646,2.583072147
1.648,2.860438912
1.65,2.981786872
1.652,2.999122295
1.654,2.791097221
1.656,2.565736724
1.658,2.271034536
1.66,2.288369959
1.662,2.288369959
1.664,2.461724188
1.666,2.652413839
1.668,2.929780604
1.67,3.016457718
1.672,2.981786872
1.674,2.808432644
1.676,2.617742993
1.678,2.392382496
1.68,2.288369959
1.682,2.357711651
1.684,2.565736724
1.686,2.84310349
1.688,3.068463986
1.69,3.1551411
1.692,3.137805678
1.694,2.964451449
1.696,2.739090953
1.698,2.47905961
1.7,2.409717919
1.702,2.496395033
1.704,2.704420107
1.706,2.964451449
1.708,3.172476523
1.71,3.259153637
1.712,3.241818214
1.714,3.068463986
1.716,2.860438912
1.718,2.652413839
1.72,2.635078416
1.722,2.808432644
1.724,3.016457718
1.726,3.328495329
1.728,3.588526671
1.73,3.675203785
1.732,3.623197517
1.734,3.415172443
1.736,3.189811946
1.738,2.964451449
1.74,2.895109758
1.742,2.947116027
1.744,3.1551411
1.746,3.432507866
1.748,3.605862094
1.75,3.709874631
1.752,3.640532939
1.754,3.449843288
1.756,3.224482792
1.758,3.051128563
1.76,2.947116027
1.762,3.016457718
1.764,3.224482792
1.766,3.467178711
1.768,3.623197517
1.77,3.657868362
1.772,3.588526671
1.774,3.293824483
1.776,2.981786872
1.778,2.773761798
1.78,2.669749261
1.782,2.72175553
1.784,2.895109758
1.786,3.1551411
1.788,3.27648906
1.79,3.345830751
1.792,3.189811946
1.794,2.964451449
1.796,2.635078416
1.798,2.409717919
1.8,2.271034536
1.802,2.340376228
1.804,2.548401302
1.806,2.860438912
1.808,2.912445181
1.81,2.964451449
1.812,2.825768067
1.814,2.635078416
1.816,2.323040805
1.818,2.149686577
1.82,2.04567404
1.822,2.149686577
1.824,2.340376228
1.826,2.60040757
1.828,2.72175553
1.83,2.756426375
1.832,2.704420107
1.834,2.461724188
1.836,2.149686577
1.838,1.976332349
1.84,1.941661503
1.842,2.028338617
1.844,2.184357422
1.846,2.548401302
1.848,2.687084684
1.85,2.687084684
1.852,2.548401302
1.854,2.444388765
1.856,2.115015731
1.858,1.958996926
1.86,1.92432608
1.862,2.04567404
1.864,2.236363691
1.866,2.617742993
1.868,2.704420107
1.87,2.72175553
1.872,2.60040757
1.874,2.409717919
1.876,2.115015731
1.878,1.976332349
1.88,1.958996926
1.882,2.097680308
1.884,2.271034536
1.886,2.60040757
1.888,2.72175553
1.89,2.704420107
1.892,2.583072147
1.894,2.357711651
1.896,2.063009463
1.898,1.906990657
1.9,1.889655234
1.902,2.063009463
1.904,2.271034536
1.906,2.635078416
1.908,2.773761798
1.91,2.791097221
1.912,2.652413839
1.914,2.375047073
1.916,2.097680308
1.918,1.941661503
1.92,1.92432608
1.922,2.132351154
1.924,2.340376228
1.926,2.669749261
1.928,2.739090953
1.93,2.739090953
1.932,2.617742993
1.934,2.392382496
1.936,2.097680308
1.938,1.958996926
1.94,1.993667771
1.942,2.219028268
1.944,2.444388765
1.946,2.704420107
1.948,2.84310349
1.95,2.791097221
1.952,2.617742993
1.954,2.375047073
1.956,2.097680308
1.958,2.011003194
1.96,2.028338617
1.962,2.253699114
1.964,2.444388765
1.966,2.773761798
1.968,2.825768067
1.97,2.739090953
1.972,2.565736724
1.974,2.305705382
1.976,2.011003194
1.978,1.92432608
1.98,1.993667771
1.982,2.219028268
1.984,2.47905961
1.986,2.704420107
1.988,2.791097221
1.99,2.72175553
1.992,2.531065879
1.994,2.340376228
1.996,2.132351154
1.998,1.993667771
2,2.04567404
2.002,2.236363691
2.004,2.496395033
2.006,2.704420107
2.008,2.791097221
2.01,2.704420107
2.012,2.513730456
2.014,2.219028268
2.016,2.011003194
2.018,1.958996926
2.02,2.028338617
2.022,2.236363691
2.024,2.513730456
2.026,2.739090953
2.028,2.808432644
2.03,2.773761798
2.032,2.513730456
2.034,2.253699114
2.036,2.080344885
2.038,1.976332349
2.04,2.028338617
2.042,2.219028268
2.044,2.531065879
2.046,2.72175553
2.048,2.773761798
2.05,2.704420107
2.052,2.548401302
2.054,2.288369959
2.056,2.080344885
2.058,1.976332349
2.06,2.063009463
2.062,2.236363691
2.064,2.531065879
2.066,2.704420107
2.068,2.791097221
2.07,2.72175553
2.072,2.496395033
2.074,2.236363691
2.076,1.993667771
2.078,1.92432608
2.08,2.115015731
2.082,2.305705382
2.084,2.531065879
2.086,2.756426375
2.088,2.773761798
2.09,2.635078416
2.092,2.461724188
2.094,2.219028268
2.096,2.028338617
2.098,1.976332349
2.1,2.115015731
